	epi_isl	submitting_lab	originating_lab
833	EPI637215	State Research Center Of Virology And Biotechnology Vector	State Research Center Of Virology And Biotechnology Vector
834	EPI742022	Centers For Disease Control And Prevention	Nic Lab Cvd Mali
835	EPI713870	National Institute Of Infectious Diseases (niid)	Fukuoka City Institute For Hygiene And The Environment
836	EPI626092	Centers For Disease Control And Prevention	National Center For Laboratory And Epidemiology
837	EPI643228	Centers For Disease Control And Prevention	National Influenza Center French Guiana And French Indies
838	EPI611097	Centers For Disease Control And Prevention	State Of Hawaii Department Of Health
839	EPI552445	Centers For Disease Control And Prevention	Florida Department Of Health Jacksonville
840	EPI625628	Centers For Disease Control And Prevention	National Institute Of Health
841	EPI625500	Centers For Disease Control And Prevention	National Institute Of Health
842	EPI625620	Centers For Disease Control And Prevention	National Institute Of Health
843	EPI629233	Centers For Disease Control And Prevention	Us Namru 6
844	EPI629217	Centers For Disease Control And Prevention	Us Namru 6
845	EPI675005	Centers For Disease Control And Prevention	Us Namru 6
846	EPI629225	Centers For Disease Control And Prevention	Us Namru 6
847	EPI674949	Centers For Disease Control And Prevention	Us Namru 6
848	EPI629249	Centers For Disease Control And Prevention	Us Namru 6
849	EPI684386	Centers For Disease Control And Prevention	National Institute For Communicable Disease
850	EPI684378	Centers For Disease Control And Prevention	National Institute For Communicable Disease
851	EPI684331	Centers For Disease Control And Prevention	National Institute For Communicable Disease
852	EPI842178	Centers For Disease Control And Prevention	Inrb Service De Virologie
853	EPI842170	Centers For Disease Control And Prevention	Inrb Service De Virologie
854	EPI684402	Centers For Disease Control And Prevention	National Institute For Communicable Disease
855	EPI756049	Centers For Disease Control And Prevention	University Teaching Hospital
856	EPI756057	Centers For Disease Control And Prevention	University Teaching Hospital
857	EPI742030	Centers For Disease Control And Prevention	Institut Pasteur De Madagascar
858	EPI567736	Centers For Disease Control And Prevention	U.s. Air Force School Of Aerospace Medicine
859	EPI673073	Centers For Disease Control And Prevention	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
860	EPI680430	Centers For Disease Control And Prevention	Kentucky Division Of Laboratory Services
861	EPI629201	Centers For Disease Control And Prevention	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
862	EPI625956	Centers For Disease Control And Prevention	Institute Of Epidemiology And Infectious Diseases Ams Of Ukraine
863	EPI668400	Centers For Disease Control And Prevention	Instituto Adolfo Lutz
864	EPI626060	Centers For Disease Control And Prevention	Institute Of Epidemiology And Infectious Diseases Ams Of Ukraine
865	EPI625508	Centers For Disease Control And Prevention	Institute Of Epidemiology And Infectious Diseases Ams Of Ukraine
866	EPI564952	Centers For Disease Control And Prevention	National Institute Of Health
867	EPI815732	Centers For Disease Control And Prevention	Nic Lab Cvd Mali
868	EPI830063	Centers For Disease Control And Prevention	Nic Lab Cvd Mali
869	EPI632402	Centers For Disease Control And Prevention	Caribbean Epidemiology Center
870	EPI614643	Centers For Disease Control And Prevention	New Jersey Department Of Health & Senior Services
871	EPI643212	Centers For Disease Control And Prevention	State Of Hawaii Department Of Health
872	EPI643369	Centers For Disease Control And Prevention	National Influenza Center French Guiana And French Indies
873	EPI691338	Centers For Disease Control And Prevention	Nic Lab Cvd Mali
874	EPI623524	National Institute Of Infectious Diseases (niid)	Saga Prefectural Institute Of Public Health And Pharmaceutical Research
875	EPI706505	National Institute Of Infectious Diseases (niid)	Pasteur Institute, Influenza Laboratory
876	EPI765117	Who Collaborating Centre For Reference And Research On Influenza	Institute Pasteur Du Cambodia
877	EPI697818	Centers For Disease Control And Prevention	National Public Health Laboratory
878	EPI697810	Centers For Disease Control And Prevention	National Public Health Laboratory
879	EPI567648	Centers For Disease Control And Prevention	U.s. Air Force School Of Aerospace Medicine
880	EPI697857	Centers For Disease Control And Prevention	Nic Lab Cvd Mali
881	EPI567640	Centers For Disease Control And Prevention	U.s. Air Force School Of Aerospace Medicine
882	EPI651831	Centers For Disease Control And Prevention	Instituto Nacional De Enfermedades Infecciosas
883	EPI643479	Centers For Disease Control And Prevention	Central Laboratory Of Public Health
884	EPI643463	Centers For Disease Control And Prevention	Central Laboratory Of Public Health
885	EPI706439	Centers For Disease Control And Prevention	Central Laboratory Of Public Health
886	EPI651823	Centers For Disease Control And Prevention	Instituto Nacional De Enfermedades Infecciosas
887	EPI643439	Centers For Disease Control And Prevention	Central Laboratory Of Public Health
888	EPI643471	Centers For Disease Control And Prevention	Central Laboratory Of Public Health
889	EPI507639	Centers For Disease Control And Prevention	Mississippi Public Health Laboratory
890	EPI677709	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England
891	EPI542150	Central Research Institute For Epidemiology	Central Research Institute For Epidemiology
892	EPI677717	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England
893	EPI567680	Centers For Disease Control And Prevention	Ministry Of Health Bahrain
894	EPI662345	Centers For Disease Control And Prevention	Ministry Of Health, Nihrd
895	EPI534035	Centers For Disease Control And Prevention	State Of Hawaii Department Of Health
896	EPI677733	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England
897	EPI498832	Swedish Institute For Infectious Disease Control	Swedish Institute For Infectious Disease Control
898	EPI562003	Who Collaborating Centre For Reference And Research On Influenza	National Institute For Communicable Disease
899	EPI499584	National Institute For Medical Research	Swedish Institute For Infectious Disease Control
900	EPI562075	Centers For Disease Control And Prevention	National Microbiology Laboratory, Health Canada
901	EPI575892	Centers For Disease Control And Prevention	Inrb Service De Virologie
902	EPI1338639	Who Chinese National Influenza Center	Guangdong Provincial Center For Disease Control And Prevention
903	EPI486628	Centers For Disease Control And Prevention	Government Virus Unit
904	EPI497678	National Institute Of Infectious Diseases (niid)	Sapporo City Institute Of Public Health
905	EPI500131	National Institute Of Infectious Diseases (niid)	Kanagawa Prefectural Institute Of Public Health
906	EPI500816	National Institute Of Infectious Diseases (niid)	Yamagata Prefectural Institute Of Public Health
907	EPI544130	Ministry Of Health, Singapore	Ministry Of Health, Singapore
908	EPI1338687	Who Chinese National Influenza Center	Hubei Provincial Center For Disease Control And Prevention
909	EPI508619	Centers For Disease Control And Prevention	California Department Of Health Services
910	EPI1338655	Who Chinese National Influenza Center	Guangdong Provincial Center For Disease Control And Prevention
911	EPI541259	Who Collaborating Centre For Reference And Research On Influenza	Laboratorio De Saude Publico
912	EPI498558	Who Chinese National Influenza Center	Who Chinese National Influenza Center
913	EPI540892	Who Collaborating Centre For Reference And Research On Influenza	National Influenza Center
914	EPI466990	National Institute Of Infectious Diseases (niid)	Shizuoka City Institute Of Environmental Sciences And Public Health 
915	EPI677725	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England
916	EPI562720	Who Collaborating Centre For Reference And Research On Influenza	Institut Penyelidikan Perubatan
917	EPI544114	Ministry Of Health, Singapore	Ministry Of Health, Singapore
918	EPI462802	Centers For Disease Control And Prevention	Instituto Nacional De Laboratoriosde Salud (inlasa)
919	EPI526771	Who Collaborating Centre For Reference And Research On Influenza	Institute Of Environmental Science And Research
920	EPI487732	Centers For Disease Control And Prevention	Utah Department Of Health
921	EPI677938	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England
922	EPI1743874	Centers For Disease Control And Prevention	Missouri Department. Of Health & Senior Services
923	EPI677845	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England
924	EPI677983	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England
925	EPI677789	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England
926	EPI489346	Centers For Disease Control And Prevention	Mississippi Public Health Laboratory
927	EPI507531	Centers For Disease Control And Prevention	Louisiana Department Of Health And Hospitals
928	EPI486636	Centers For Disease Control And Prevention	Louisiana Department Of Health And Hospitals
929	EPI503823	Centers For Disease Control And Prevention	Louisiana Department Of Health And Hospitals
930	EPI486652	Centers For Disease Control And Prevention	Louisiana Department Of Health And Hospitals
931	EPI486644	Centers For Disease Control And Prevention	Louisiana Department Of Health And Hospitals
932	EPI492813	Centers For Disease Control And Prevention	Mississippi Public Health Laboratory
933	EPI1758923	Centers For Disease Control And Prevention	Children's National Medical Center
934	EPI510137	Centers For Disease Control And Prevention	Pennsylvania Department Of Health
935	EPI551356	Who Collaborating Centre For Reference And Research On Influenza	Institute Pasteur Du Cambodia
936	EPI574042	National Institute Of Infectious Diseases (niid)	Center For Public Health And Environment, Hiroshima Prefectural Technology Research Institute
937	EPI565032	Centers For Disease Control And Prevention	Who National Influenza Centre, National Institute Of Medical Research (nimr)
938	EPI564984	Centers For Disease Control And Prevention	Who National Influenza Centre, National Institute Of Medical Research (nimr)
939	EPI540898	Who Collaborating Centre For Reference And Research On Influenza	Who National Influenza Centre, National Institute Of Medical Research (nimr)
940	EPI684347	Centers For Disease Control And Prevention	National Center For Laboratory And Epidemiology
